Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Dillon Brooks,31.8,14.0,3.7,1.7,0.8,0.2,0.429,0.397
Tolu Smith,22.0,14.0,8.0,0.0,0.0,0.0,0.667,
Klay Thompson,27.3,14.0,3.4,2.0,0.7,0.4,0.412,0.391
Bobby Portis,25.4,13.9,8.4,2.1,0.7,0.5,0.466,0.365
Tobias Harris,31.6,13.7,5.9,2.2,1.0,0.8,0.477,0.345
Josh Hart,37.6,13.6,9.6,5.9,1.5,0.4,0.525,0.333
Jarrett Allen,28.0,13.5,9.7,1.9,0.9,0.9,0.706,0.0
Onyeka Okongwu,27.9,13.4,8.9,2.3,0.9,0.9,0.567,0.324
Russell Westbrook,27.9,13.3,4.9,6.1,1.4,0.5,0.449,0.323
Naji Marshall,27.8,13.2,4.8,3.0,1.0,0.2,0.508,0.275
Dennis Schr̦der,28.1,13.1,2.6,5.4,0.9,0.2,0.406,0.342
Dennis Schr̦der,33.6,18.4,3.0,6.6,1.1,0.2,0.452,0.387
Dennis Schr̦der,26.2,10.6,2.3,4.4,1.0,0.1,0.375,0.322
Dennis Schr̦der,25.2,10.8,2.6,5.3,0.5,0.2,0.378,0.302
Rui Hachimura,31.7,13.1,5.0,1.4,0.8,0.4,0.509,0.413
Brook Lopez,31.8,13.0,5.0,1.8,0.6,1.9,0.509,0.373
Alex Sarr,27.1,13.0,6.5,2.4,0.7,1.5,0.394,0.308
Moritz Wagner,18.8,12.9,4.9,1.4,0.8,0.4,0.562,0.36
Malcolm Brogdon,23.5,12.7,3.8,4.1,0.5,0.2,0.433,0.286
Scoot Henderson,26.7,12.7,3.0,5.1,1.0,0.2,0.419,0.354
Keldon Johnson,23.9,12.7,4.8,1.6,0.6,0.3,0.482,0.318
D'Angelo Russell,25.5,12.6,2.8,5.1,1.0,0.4,0.39,0.314
D'Angelo Russell,26.3,12.4,2.8,4.7,0.8,0.1,0.415,0.333
D'Angelo Russell,24.7,12.9,2.8,5.6,1.1,0.7,0.367,0.297
Zaccharie Risacher,24.6,12.6,3.6,1.2,0.7,0.5,0.458,0.355
Santi Aldama,25.5,12.5,6.4,2.9,0.8,0.4,0.483,0.368
Ty Jerome,19.9,12.5,2.5,3.4,1.1,0.0,0.516,0.439
Keegan Murray,34.3,12.4,6.7,1.4,0.8,0.9,0.444,0.343
Lonnie Walker IV,23.9,12.4,3.2,2.5,0.5,0.3,0.42,0.354
Harrison Barnes,27.2,12.3,3.8,1.7,0.5,0.2,0.508,0.433
Bilal Coulibaly,33.0,12.3,5.0,3.4,1.3,0.7,0.421,0.281
Ayo Dosunmu,30.3,12.3,3.5,4.5,0.9,0.4,0.492,0.328
Daniel Gafford,21.5,12.3,6.8,1.4,0.4,1.8,0.702,
Jaden McDaniels,31.9,12.2,5.7,2.0,1.3,0.9,0.477,0.33
Jabari Smith Jr.,30.1,12.2,7.0,1.1,0.4,0.7,0.438,0.354
Caris LeVert,24.9,12.1,3.2,3.4,0.9,0.5,0.467,0.373
Caris LeVert,23.8,10.2,2.8,3.7,0.9,0.5,0.453,0.405
Caris LeVert,26.6,14.9,3.7,2.9,0.9,0.5,0.482,0.338
Drew Timme,28.2,12.1,7.2,2.2,0.4,0.1,0.441,0.257
Tari Eason,24.9,12.0,6.4,1.5,1.7,0.9,0.487,0.342
Rudy Gobert,33.2,12.0,10.9,1.8,0.8,1.4,0.669,
Aaron Nesmith,25.0,12.0,4.0,1.2,0.8,0.4,0.507,0.431
Aaron Wiggins,22.9,12.0,3.9,1.8,0.8,0.2,0.488,0.383
Khris Middleton,22.8,11.9,3.7,4.1,0.9,0.2,0.475,0.361
Khris Middleton,23.2,12.6,3.7,4.4,0.7,0.2,0.512,0.407
