Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Alex Len,12.2,2.2,3.1,0.8,0.1,0.3,0.455,0.333
Yuki Kawamura,4.2,1.6,0.5,0.9,0.1,0.0,0.367,0.304
Jack McVeigh,4.8,1.6,0.6,0.1,0.0,0.2,0.294,0.308
Armel Traor̩,7.4,1.6,1.7,0.1,0.4,0.2,0.316,0.0
Jordan Walsh,7.8,1.6,1.3,0.4,0.2,0.2,0.361,0.273
Phillip Wheeler,8.8,1.6,1.6,0.4,0.2,0.4,0.143,0.0
Sidy Cissoko,5.2,1.5,1.0,0.7,0.1,0.0,0.433,0.231
Sidy Cissoko,3.2,1.3,0.6,0.4,0.1,0.0,0.5,0.429
Sidy Cissoko,12.0,2.0,2.2,1.8,0.2,0.2,0.333,0.0
Jazian Gortman,3.6,1.5,0.3,0.4,0.1,0.1,0.391,0.364
Kevin McCullar Jr.,7.3,1.5,2.0,0.5,0.3,0.3,0.286,0.0
Leonard Miller,2.5,1.5,0.8,0.0,0.2,0.1,0.4,0.0
Quincy Olivari,5.0,1.5,0.0,0.5,0.0,0.0,0.2,0.2
Matt Ryan,3.6,1.5,0.4,0.2,0.1,0.0,0.323,0.316
Jacob Toppin,4.5,1.4,0.9,0.4,0.1,0.0,0.409,0.5
Jacob Toppin,3.1,0.4,0.7,0.3,0.1,0.0,0.3,0.0
Jacob Toppin,27.0,17.0,4.0,2.0,0.0,0.0,0.5,0.625
Cam Christie,4.5,1.4,0.9,0.5,0.4,0.1,0.292,0.154
Chris Livingston,5.0,1.4,1.7,0.2,0.2,0.0,0.333,0.0
Trey Alexander,4.9,1.3,0.5,0.5,0.1,0.0,0.317,0.176
Spencer Jones,6.3,1.3,0.9,0.3,0.3,0.3,0.324,0.059
Skal Labissi̬re,3.0,1.3,0.8,0.3,0.0,0.0,0.5,1.0
Jalen Bridges,3.8,1.1,0.5,0.0,0.0,0.0,0.286,0.286
Yuri Collins,8.0,1.0,1.5,2.0,1.0,0.0,0.333,
Daniss Jenkins,3.3,1.0,0.3,0.4,0.0,0.0,0.3,0.143
Braxton Key,3.7,1.0,0.7,0.0,0.7,0.0,0.0,0.0
Bryce McGowens,2.5,1.0,0.2,0.2,0.1,0.0,0.286,0.0
Xavier Tillman Sr.,7.0,1.0,1.3,0.2,0.3,0.2,0.245,0.156
Luke Travers,7.3,1.0,1.7,0.7,0.1,0.1,0.25,0.0
Isaiah Crawford,3.1,0.9,0.5,0.1,0.1,0.1,0.455,0.2
Justin Minaya,5.3,0.9,0.5,0.4,0.3,0.1,0.381,0.2
Anton Watson,2.4,0.9,0.3,0.2,0.1,0.0,0.444,0.0
D.J. Carton,8.3,0.8,1.0,0.8,0.5,0.0,0.143,0.0
PJ Dozier,3.9,0.8,0.6,0.6,0.1,0.0,0.667,0.667
Joe Ingles,6.0,0.8,0.6,1.2,0.1,0.0,0.261,0.2
Harrison Ingram,7.0,0.8,1.8,0.6,0.6,0.0,0.5,0.0
Ulrich Chomche,4.6,0.7,1.1,0.3,0.0,0.1,0.4,
James Johnson,3.1,0.7,0.5,0.3,0.0,0.2,0.364,0.0
Liam Robbins,4.4,0.7,0.9,0.2,0.2,0.2,0.25,0.0
Stanley Umude,3.9,0.7,0.8,0.2,0.1,0.3,0.192,0.2
Cui Yongxi,2.0,0.6,0.4,0.0,0.0,0.0,0.143,0.0
Tristen Newton,2.0,0.4,0.5,0.3,0.1,0.0,0.125,0.0
Tristen Newton,1.6,0.6,0.0,0.2,0.0,0.0,0.167,0.0
Tristen Newton,2.7,0.0,1.3,0.3,0.3,0.0,0.0,
Malevy Leons,3.5,0.3,0.5,0.2,0.0,0.0,0.0,0.0
Daishen Nix,4.3,0.3,1.3,1.0,0.0,0.0,0.0,0.0
Terence Davis,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jesse Edwards,2.5,0.0,0.0,0.5,0.0,0.0,,
Mac McClung,5.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0
Jalen McDaniels,1.8,0.0,0.0,0.3,0.3,0.0,,
Riley Minix,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jahlil Okafor,3.0,0.0,1.0,1.0,0.0,0.0,,
Zyon Pullin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Isaiah Stevens,2.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0
Terry Taylor,2.0,0.0,0.3,0.7,0.0,0.0,0.0,
